fund_id,as_of,ingested_at,version,instrument_isin,instrument_ticker,instrument_name,quantity,market_value_local,local_ccy,market_value_eur,weight_pct_issuer,weight_pct_recalc,asset_class,country,sector,source,source_url,source_doc_id
LU0635178014,2024-03-29,2024-03-30T06:30:00Z,1,IE00B4L5Y983,IEUR,iShares Core MSCI Europe ETF,400000,20000000,USD,18400000,0.09333333333333332,0.09333333333333332,Equity,United States,Exchange Traded Fund,ISSUER,https://amundi.com/cebe,CEBE-2024-03-29
LU0635178014,2024-03-29,2024-03-30T06:30:00Z,1,IE00B52MJY50,EMIM,iShares Core MSCI EM IMI ETF,350000,18000000,USD,16500000,0.07999999999999997,0.07999999999999997,Equity,United States,Exchange Traded Fund,ISSUER,https://amundi.com/cebe,CEBE-2024-03-29
LU0635178014,2024-03-29,2024-03-30T06:30:00Z,1,IE00B4L5YC18,IEMB,iShares J.P. Morgan EM Bond ETF,200000,11000000,USD,10100000,0.05333333333333332,0.05333333333333332,Bond,United States,Fixed Income,ISSUER,https://amundi.com/cebe,CEBE-2024-03-29
LU0635178014,2024-03-29,2024-03-30T06:30:00Z,1,IE00B5BMR087,AGGG,iShares Core Global Aggregate Bond UCITS ETF,500000,52000000,USD,47800000,0.23999999999999994,0.23999999999999994,Bond,United States,Fixed Income,ISSUER,https://amundi.com/cebe,CEBE-2024-03-29
LU0635178014,2024-03-29,2024-03-30T06:30:00Z,1,IE00B4WXJJ64,CSP1,iShares Core S&P 500 UCITS ETF,380000,23000000,USD,21100000,0.10666666666666665,0.10666666666666665,Equity,United States,Exchange Traded Fund,ISSUER,https://amundi.com/cebe,CEBE-2024-03-29
LU0635178014,2024-03-29,2024-03-30T06:30:00Z,1,IE00B0M62Q58,EIMI,iShares Core MSCI EM IMI ETF,450000,19500000,USD,17900000,0.09333333333333332,0.09333333333333332,Equity,United States,Exchange Traded Fund,ISSUER,https://amundi.com/cebe,CEBE-2024-03-29
LU0635178014,2024-03-29,2024-03-30T06:30:00Z,1,IE00BYYR0C47,SUAS,iShares ESG USD Corp Bond ETF,260000,13200000,USD,12100000,0.06666666666666665,0.06666666666666665,Bond,United States,Fixed Income,ISSUER,https://amundi.com/cebe,CEBE-2024-03-29
LU0635178014,2024-03-29,2024-03-30T06:30:00Z,1,IE00BG0J3D01,SUSA,iShares MSCI USA ESG Screened ETF,200000,12800000,USD,11700000,0.06666666666666665,0.06666666666666665,Equity,United States,Exchange Traded Fund,ISSUER,https://amundi.com/cebe,CEBE-2024-03-29
LU0635178014,2024-03-29,2024-03-30T06:30:00Z,1,IE00B9MRHC27,SGLD,iShares Physical Gold ETC,150000,9000000,USD,8200000,0.03999999999999999,0.03999999999999999,Commodity,United States,Precious Metals,ISSUER,https://amundi.com/cebe,CEBE-2024-03-29
LU0635178014,2024-03-29,2024-03-30T06:30:00Z,1,IE00B6YX5C33,IHYG,iShares High Yield Corp Bond ETF,220000,11500000,USD,10600000,0.05333333333333332,0.05333333333333332,Bond,United States,Fixed Income,ISSUER,https://amundi.com/cebe,CEBE-2024-03-29
LU0635178014,2024-03-29,2024-03-30T06:30:00Z,1,IE00BYYR0H66,SUAO,iShares USD Short Duration Corp Bond ETF,210000,9800000,USD,9020000,0.03999999999999999,0.03999999999999999,Bond,United States,Fixed Income,ISSUER,https://amundi.com/cebe,CEBE-2024-03-29
LU0635178014,2024-03-29,2024-03-30T06:30:00Z,1,IE0031442068,IGLN,iShares Physical Gold ETC,140000,8600000,USD,7840000,0.03999999999999999,0.03999999999999999,Commodity,United States,Precious Metals,ISSUER,https://amundi.com/cebe,CEBE-2024-03-29
LU0635178014,2024-03-29,2024-03-30T06:30:00Z,1,CASHUSD,CASH_USD,US Dollar Cash,0,6000000,USD,6000000,0.02666666666666666,0.02666666666666666,Cash,United States,Cash,ISSUER,https://amundi.com/cebe,CEBE-2024-03-29
